Key,ru,en
ftue_0,"Приветсвую фермер!
Мы приземлились на планету <color=#E28B00>Галатея -38</color> в фермерском секторе млечного пути.","Welcome, farmer!
We have landed on the planet <color=#E28B00>Galatea -38</color> in the farming sector of the Milky Way."
ftue_1,"Запускается программа обучения 
""<color=#E28B00>Выращивание томатов для людей-фермеров</color>"" ...","Launching training program
""<color=#E28B00>Tomato Growing for Human Farmers</color>"" ..."
ftue_2,"<color=#E28B00>Бот-вскапыватель</color>
вспашет песчаную корку
и обнажит почву для семян!","The <color=#E28B00>Tilling Bot</color>
will break the sandy crust
and reveal the soil for seeds!"
ftue_3,Прикажите ему вскопать 7 клеток.,Order it to till 7 tiles.
ftue_4,"На работу ботов тратится <color=#E28B00>энергия</color>!
Они работают на лунных батареях
и перезаряжаются каждую ночь.","Bots use <color=#E28B00>energy</color> to work!
They run on lunar batteries
and recharge every night."
ftue_5,"Томаты растут из семян.
А семена хранятся в вашем <color=#E28B00>рюкзаке</color>.
Откройте его","Tomatoes grow from seeds.
Seeds are stored in your <color=#E28B00>backpack</color>.
Open it"
ftue_6,"Выберите семечко томатов.
На упаковке будет нарисован эллипсоид цвета #FF0000","Select a tomato seed.
The package will show an ellipsoid of color #FF0000"
ftue_7,"Посадите семена
на вскопанную клетку.
Сухая почва непригодна для роста.","Plant the seeds
on a tilled tile.
Dry soil is not suitable for growth."
ftue_8,"Для роста томатам нужна <color=#E28B00>вода</color>.
Мой коллега польёт клетку за 1 энергию.","Tomatoes need <color=#E28B00>water</color> to grow.
My colleague will water the tile for 1 energy."
ftue_9,"Полейте ваши томаты после посадки.
Пока их не полить - они не вырастут.","Water your tomatoes after planting.
They won't grow until you water them."
ftue_10,"Используйте <color=#E28B00>часы</color>,
чтобы сдвинуть время на день вперёд.
Овощи вырастут, а энергия восстановится.","Use the <color=#E28B00>clock</color>
to move time forward by a day.
Vegetables will grow, and energy will be restored."
ftue_11,"Один заряд часов заряжается <color=#E28B00>7 ЗЕМНЫХ МИНУТ</color>. 
Квази-частицы там, все дела.
К счастью у меня есть в запасе одна батарейка!","One clock charge restores in <color=#E28B00>7 EARTH MINUTES</color>.
Quasiparticles and all that.
Luckily, I have a spare battery!"
ftue_12,"Особенность томатов:
<color=#E28B00>больше воды - больше урожая</color>.
Полейте уже выросшие томаты ещё 7 раз.","Tomato feature:
<color=#E28B00>more water = bigger harvest</color>.
Water the grown tomatoes 7 more times."
ftue_13,"Бот-сборщик пока разрабатывается,
используйте для сбора ручную косу.
Зато она не тратит энергию.","The harvesting bot is still in development,
use the manual sickle to harvest.
At least it doesn't use energy."
ftue_14,"Соберите выросшие томаты.
Перед сбором убедитесь, что
цвет томатов соответстует стандарту #FF0000.","Harvest the grown tomatoes.
Before harvesting, make sure
the tomatoes match the #FF0000 color standard."
ftue_15,"Перейдите в ангар
чтобы продать томаты.","Go to the hangar
to sell the tomatoes."
ftue_16,Выберите все овощи на продажу.,Select all vegetables for sale.
ftue_17,"С одной клетки получилось 2-3 томата,
благодаря дополнительному поливу.
Продайте все томаты.","You got 2-3 tomatoes from one tile
thanks to extra watering.
Sell all the tomatoes."
ftue_18,"Все овощи продаются 1 к 1,
но некоторые дают сразу большой урожай.
Выйдите из ангара.","All vegetables sell 1 to 1,
but some give a big harvest at once.
Exit the hangar."
ftue_19,"На вырученную прибыль можно
<color=#E28B00>купить новые семена</color>.
Откройте магазин семян.","With your earnings you can
<color=#E28B00>buy new seeds</color>.
Open the seed shop."
ftue_20,"Товары меняются каждый день.
К счастью, томаты сегодня есть в продаже.
Купите их.","Goods change every day.
Luckily, tomatoes are on sale today.
Buy them."
ftue_21,"Баклажаны дают больше урожая,
если подождать несколько дней.
Купите их на оставшиеся монетки.","Eggplants give a bigger harvest
if you wait a few days.
Buy them with your remaining coins."
ftue_22,Вернёмся на ферму для окончания обучения.,Let's return to the farm to finish the tutorial.
ftue_23,"В энциклопедии 
""<color=#E28B00>Фермерство для людей нулевого уровня</color>""
есть ответы на любые вопросы.","The encyclopedia
""<color=#E28B00>Farming for Level Zero Humans</color>""
has answers to any questions."
ftue_24,"Получите следующий уровень, 
чтобы открыть новые растения","Reach the next level
to unlock new plants"
ftue_tools,"Вы достаточно квалифицированы
чтобы пользоваться инструментами.
Закажите их доставку здесь","You are qualified enough
to use tools.
Order their delivery here"
