Key,ru,en
ftue_0,"Приветсвую фермер!
Мы приземлились на планету <color=#E28B00>Галатея -38</color> в фермерском секторе млечного пути.",
ftue_1,"Запускается программа обучения 
""<color=#E28B00>Выращивание томатов для людей-фермеров</color>"" ...",
ftue_2,"<color=#E28B00>Бот-вскапыватель</color>
вспашет песчаную корку
и обнажит почву для семян!",
ftue_3,Прикажите ему вскопать 7 клеток.,
ftue_4,"На работу ботов тратится <color=#E28B00>энергия</color>!
Они работают на лунных батареях
и перезаряжаются каждую ночь.",
ftue_5,"Томаты растут из семян.
А семена хранятся в вашем <color=#E28B00>рюкзаке</color>.
Откройте его",
ftue_6,"Выберите семечко томатов.
На упаковке будет нарисован эллипсоид цвета #FF0000",
ftue_7,"Посадите семена
на вскопанную клетку.
Сухая почва непригодна для роста.",
ftue_8,"Для роста томатам нужна <color=#E28B00>вода</color>.
Мой коллега польёт клетку за 1 энергию.",
ftue_9,"Полейте ваши томаты после посадки.
Пока их не полить - они не вырастут.",
ftue_10,"Используйте <color=#E28B00>часы</color>,
чтобы сдвинуть время на день вперёд.
Овощи вырастут, а энергия восстановится.",
ftue_11,"Один заряд часов заряжается <color=#E28B00>7 ЗЕМНЫХ МИНУТ</color>. 
Квази-частицы там, все дела.
К счастью у меня есть в запасе одна батарейка!",
ftue_12,"Особенность томатов:
<color=#E28B00>больше воды - больше урожая</color>.
Полейте уже выросшие томаты ещё 7 раз.",
ftue_13,"Бот-сборщик пока разрабатывается,
используйте для сбора ручную косу.
Зато она не тратит энергию.",
ftue_14,"Соберите выросшие томаты.
Перед сбором убедитесь, что
цвет томатов соответстует стандарту #FF0000.",
ftue_15,"Перейдите в ангар
чтобы продать томаты.",
ftue_16,Выберите все овощи на продажу.,
ftue_17,"С одной клетки получилось 2-3 томата,
благодаря дополнительному поливу.
Продайте все томаты.",
ftue_18,"Все овощи продаются 1 к 1,
но некоторые дают сразу большой урожай.
Выйдите из ангара.",
ftue_19,"На вырученную прибыль можно
<color=#E28B00>купить новые семена</color>.
Откройте магазин семян.",
ftue_20,"Товары меняются каждый день.
К счастью, томаты сегодня есть в продаже.
Купите их.",
ftue_21,"Баклажаны дают больше урожая,
если подождать несколько дней.
Купите их на оставшиеся монетки.",
ftue_22,Вернёмся на ферму для окончания обучения.,
ftue_23,"В энциклопедии 
""<color=#E28B00>Фермерство для людей нулевого уровня</color>""
есть ответы на любые вопросы.",
ftue_24,"Получите следующий уровень, 
чтобы открыть новые растения",
,,
ftue_tools,"Вы достаточно квалифицированы
чтобы пользоваться инструментами.
Закажите их доставку здесь",
,,
ftue_weather_0,"Мои датчики погоды показывают,
что завтра что-то будет!
Проверь в календаре.",
ftue_weather_1,"Датчики не подвели. 
Влажность достигла земных уровней.
Нажми на иконку чтобы прочитать о дожде.",
ftue_weather_2,"В этом календаре прогнозов
можно увидеть когда ожидаются
погодные катаклизмы.",
,,
ftue_delivery,"Каждое воскресенье прилетает ракета с земли.
Можно открыть для поставок: 
-новые виды семян
-диковинные инструменты
-и даже целое селькохозяйственное строение!",
,,
ftue_club,"Теперь у вас есть возможность
заглянуть на фермы к другим!",
,,
,,
tomato_page_1,"Чтобы вырастить помидор, достаточно посадить его в плодородную почву и полить.",
tomato_page_2,"Зато если полить его дополнительные 2 раза, то он расплодится и даст 3 овоща, вместо 1!",
,,
,По утрам из лужи может вырасти сорняк с шансом 50%. ,
," При сборе даёт 1 монетку, но не даёт овощ.",
,,
,Если вскопать (не собрать) уже выросшую клубнику - она польёт две соседние клетки.,
,"Клубника не поливает клетки, которые невозможно полить.",
,,
,Дублирует действие с 3 правых клеток на 3 левые.  ,
,"Дублирует не только действия игрока, но и любые другие воздействия.
Каждый день съедает по 2 монеты!!!",
,,
,"Сажайте тыквы друг с другом, чтобы получить больше урожая.",
,"Уже выросшие тыквы не могут увеличиться.
Растёт 2 дня, но поливать нужно только 1 раз.",
,,
,"Горох самостоятельно разрастается, но умирает, если коснётся другого растения.",
,"При сборе одной части гороха, собирается вся цепочка.
За ним очень трудно ухаживать, но результат впечатляет!",
,,
,При сборе собирает овощи с соседних клеток и увеличивает свой урожай за каждую клетку.,
,"Сам лук собирается ПОСЛЕ окружающих клеток,
а значит удвоение от папоротника не сработает.",
,,
,Полностью выращенная мухоловка (3 дня) спасёт ваши растения от вредителей.,
,"Мухоловка сама разрастается каждое утро, но боится воды. 
За каждое спасённое растение вы получите урожай.",
,,
,Овощи вокруг выросшего папоротника дают двойной урожай.,
,"Выросший папортник надо поливать каждый день, иначе он засохнет.
Семечко засохнуть не может.",
,,
,Достаточно посадить и полить чтобы получить 1 баклажан.,
,Но если подождать дополнительно 2 дня - то вместо одного баклажана вы получите 3.,
,,
,Если полить уже выросший одуванчик - он вскопает 2 соседние клетки.,
,"Одуванчик вскапывает только доступные клетки.
Если вскапывать ему нечего - то и полить его не получится.",
,,
,При вырастании сажает кукурузу на соседнюю свободную клетку.,
,"Если свободных клеток не окажется - кукуруза вырастет, но не размножится. Следите, чтобы ей всегда хватало места!",
,,
,"Не будет расти, пока не наступит засуха.
После неё сразу расцветёт и даст 5 овощей.",
,"Если полить кактус - он умрёт и исчезнет, оставив после себя вскопанную почву.",
,,
