Key,ru,en
ftue_0,"РџСЂРёРІРµС‚СЃРІСѓСЋ С„РµСЂРјРµСЂ!
РњС‹ РїСЂРёР·РµРјР»РёР»РёСЃСЊ РЅР° РїР»Р°РЅРµС‚Сѓ <color=#E28B00>Р“Р°Р»Р°С‚РµСЏ -38</color> РІ С„РµСЂРјРµСЂСЃРєРѕРј СЃРµРєС‚РѕСЂРµ РјР»РµС‡РЅРѕРіРѕ РїСѓС‚Рё.",
ftue_1,"Р—Р°РїСѓСЃРєР°РµС‚СЃСЏ РїСЂРѕРіСЂР°РјРјР° РѕР±СѓС‡РµРЅРёСЏ 
""<color=#E28B00>Р’С‹СЂР°С‰РёРІР°РЅРёРµ С‚РѕРјР°С‚РѕРІ РґР»СЏ Р»СЋРґРµР№-С„РµСЂРјРµСЂРѕРІ</color>"" ...",
ftue_2,"<color=#E28B00>Р‘РѕС‚-РІСЃРєР°РїС‹РІР°С‚РµР»СЊ</color>
РІСЃРїР°С€РµС‚ РїРµСЃС‡Р°РЅСѓСЋ РєРѕСЂРєСѓ
Рё РѕР±РЅР°Р¶РёС‚ РїРѕС‡РІСѓ РґР»СЏ СЃРµРјСЏРЅ!",
ftue_3,РџСЂРёРєР°Р¶РёС‚Рµ РµРјСѓ РІСЃРєРѕРїР°С‚СЊ 7 РєР»РµС‚РѕРє.,
ftue_4,"РќР° СЂР°Р±РѕС‚Сѓ Р±РѕС‚РѕРІ С‚СЂР°С‚РёС‚СЃСЏ <color=#E28B00>СЌРЅРµСЂРіРёСЏ</color>!
РћРЅРё СЂР°Р±РѕС‚Р°СЋС‚ РЅР° Р»СѓРЅРЅС‹С… Р±Р°С‚Р°СЂРµСЏС…
Рё РїРµСЂРµР·Р°СЂСЏР¶Р°СЋС‚СЃСЏ РєР°Р¶РґСѓСЋ РЅРѕС‡СЊ.",
ftue_5,"РўРѕРјР°С‚С‹ СЂР°СЃС‚СѓС‚ РёР· СЃРµРјСЏРЅ.
Рђ СЃРµРјРµРЅР° С…СЂР°РЅСЏС‚СЃСЏ РІ РІР°С€РµРј <color=#E28B00>СЂСЋРєР·Р°РєРµ</color>.
РћС‚РєСЂРѕР№С‚Рµ РµРіРѕ",
ftue_6,"Р’С‹Р±РµСЂРёС‚Рµ СЃРµРјРµС‡РєРѕ С‚РѕРјР°С‚РѕРІ.
РќР° СѓРїР°РєРѕРІРєРµ Р±СѓРґРµС‚ РЅР°СЂРёСЃРѕРІР°РЅ СЌР»Р»РёРїСЃРѕРёРґ С†РІРµС‚Р° #FF0000",
ftue_7,"РџРѕСЃР°РґРёС‚Рµ СЃРµРјРµРЅР°
РЅР° РІСЃРєРѕРїР°РЅРЅСѓСЋ РєР»РµС‚РєСѓ.
РЎСѓС…Р°СЏ РїРѕС‡РІР° РЅРµРїСЂРёРіРѕРґРЅР° РґР»СЏ СЂРѕСЃС‚Р°.",
ftue_8,"Р”Р»СЏ СЂРѕСЃС‚Р° С‚РѕРјР°С‚Р°Рј РЅСѓР¶РЅР° <color=#E28B00>РІРѕРґР°</color>.
РњРѕР№ РєРѕР»Р»РµРіР° РїРѕР»СЊС‘С‚ РєР»РµС‚РєСѓ Р·Р° 1 СЌРЅРµСЂРіРёСЋ.",
ftue_9,"РџРѕР»РµР№С‚Рµ РІР°С€Рё С‚РѕРјР°С‚С‹ РїРѕСЃР»Рµ РїРѕСЃР°РґРєРё.
РџРѕРєР° РёС… РЅРµ РїРѕР»РёС‚СЊ - РѕРЅРё РЅРµ РІС‹СЂР°СЃС‚СѓС‚.",
ftue_10,"РСЃРїРѕР»СЊР·СѓР№С‚Рµ <color=#E28B00>С‡Р°СЃС‹</color>,
С‡С‚РѕР±С‹ СЃРґРІРёРЅСѓС‚СЊ РІСЂРµРјСЏ РЅР° РґРµРЅСЊ РІРїРµСЂС‘Рґ.
РћРІРѕС‰Рё РІС‹СЂР°СЃС‚СѓС‚, Р° СЌРЅРµСЂРіРёСЏ РІРѕСЃСЃС‚Р°РЅРѕРІРёС‚СЃСЏ.",
ftue_11,"РћРґРёРЅ Р·Р°СЂСЏРґ С‡Р°СЃРѕРІ Р·Р°СЂСЏР¶Р°РµС‚СЃСЏ <color=#E28B00>7 Р—Р•РњРќР«РҐ РњРРќРЈРў</color>. 
РљРІР°Р·Рё-С‡Р°СЃС‚РёС†С‹ С‚Р°Рј, РІСЃРµ РґРµР»Р°.
Рљ СЃС‡Р°СЃС‚СЊСЋ Сѓ РјРµРЅСЏ РµСЃС‚СЊ РІ Р·Р°РїР°СЃРµ РѕРґРЅР° Р±Р°С‚Р°СЂРµР№РєР°!",
ftue_12,"РћСЃРѕР±РµРЅРЅРѕСЃС‚СЊ С‚РѕРјР°С‚РѕРІ:
<color=#E28B00>Р±РѕР»СЊС€Рµ РІРѕРґС‹ - Р±РѕР»СЊС€Рµ СѓСЂРѕР¶Р°СЏ</color>.
РџРѕР»РµР№С‚Рµ СѓР¶Рµ РІС‹СЂРѕСЃС€РёРµ С‚РѕРјР°С‚С‹ РµС‰С‘ 7 СЂР°Р·.",
ftue_13,"Р‘РѕС‚-СЃР±РѕСЂС‰РёРє РїРѕРєР° СЂР°Р·СЂР°Р±Р°С‚С‹РІР°РµС‚СЃСЏ,
РёСЃРїРѕР»СЊР·СѓР№С‚Рµ РґР»СЏ СЃР±РѕСЂР° СЂСѓС‡РЅСѓСЋ РєРѕСЃСѓ.
Р—Р°С‚Рѕ РѕРЅР° РЅРµ С‚СЂР°С‚РёС‚ СЌРЅРµСЂРіРёСЋ.",
ftue_14,"РЎРѕР±РµСЂРёС‚Рµ РІС‹СЂРѕСЃС€РёРµ С‚РѕРјР°С‚С‹.
РџРµСЂРµРґ СЃР±РѕСЂРѕРј СѓР±РµРґРёС‚РµСЃСЊ, С‡С‚Рѕ
С†РІРµС‚ С‚РѕРјР°С‚РѕРІ СЃРѕРѕС‚РІРµС‚СЃС‚СѓРµС‚ СЃС‚Р°РЅРґР°СЂС‚Сѓ #FF0000.",
ftue_15,"РџРµСЂРµР№РґРёС‚Рµ РІ Р°РЅРіР°СЂ
С‡С‚РѕР±С‹ РїСЂРѕРґР°С‚СЊ С‚РѕРјР°С‚С‹.",
ftue_16,Р’С‹Р±РµСЂРёС‚Рµ РІСЃРµ РѕРІРѕС‰Рё РЅР° РїСЂРѕРґР°Р¶Сѓ.,
ftue_17,"РЎ РѕРґРЅРѕР№ РєР»РµС‚РєРё РїРѕР»СѓС‡РёР»РѕСЃСЊ 2-3 С‚РѕРјР°С‚Р°,
Р±Р»Р°РіРѕРґР°СЂСЏ РґРѕРїРѕР»РЅРёС‚РµР»СЊРЅРѕРјСѓ РїРѕР»РёРІСѓ.
РџСЂРѕРґР°Р№С‚Рµ РІСЃРµ С‚РѕРјР°С‚С‹.",
ftue_18,"Р’СЃРµ РѕРІРѕС‰Рё РїСЂРѕРґР°СЋС‚СЃСЏ 1 Рє 1,
РЅРѕ РЅРµРєРѕС‚РѕСЂС‹Рµ РґР°СЋС‚ СЃСЂР°Р·Сѓ Р±РѕР»СЊС€РѕР№ СѓСЂРѕР¶Р°Р№.
Р’С‹Р№РґРёС‚Рµ РёР· Р°РЅРіР°СЂР°.",
ftue_19,"РќР° РІС‹СЂСѓС‡РµРЅРЅСѓСЋ РїСЂРёР±С‹Р»СЊ РјРѕР¶РЅРѕ
<color=#E28B00>РєСѓРїРёС‚СЊ РЅРѕРІС‹Рµ СЃРµРјРµРЅР°</color>.
РћС‚РєСЂРѕР№С‚Рµ РјР°РіР°Р·РёРЅ СЃРµРјСЏРЅ.",
ftue_20,"РўРѕРІР°СЂС‹ РјРµРЅСЏСЋС‚СЃСЏ РєР°Р¶РґС‹Р№ РґРµРЅСЊ.
Рљ СЃС‡Р°СЃС‚СЊСЋ, С‚РѕРјР°С‚С‹ СЃРµРіРѕРґРЅСЏ РµСЃС‚СЊ РІ РїСЂРѕРґР°Р¶Рµ.
РљСѓРїРёС‚Рµ РёС….",
ftue_21,"Р‘Р°РєР»Р°Р¶Р°РЅС‹ РґР°СЋС‚ Р±РѕР»СЊС€Рµ СѓСЂРѕР¶Р°СЏ,
РµСЃР»Рё РїРѕРґРѕР¶РґР°С‚СЊ РЅРµСЃРєРѕР»СЊРєРѕ РґРЅРµР№.
РљСѓРїРёС‚Рµ РёС… РЅР° РѕСЃС‚Р°РІС€РёРµСЃСЏ РјРѕРЅРµС‚РєРё.",
ftue_22,Р’РµСЂРЅС‘РјСЃСЏ РЅР° С„РµСЂРјСѓ РґР»СЏ РѕРєРѕРЅС‡Р°РЅРёСЏ РѕР±СѓС‡РµРЅРёСЏ.,
ftue_23,"Р’ СЌРЅС†РёРєР»РѕРїРµРґРёРё 
""<color=#E28B00>Р¤РµСЂРјРµСЂСЃС‚РІРѕ РґР»СЏ Р»СЋРґРµР№ РЅСѓР»РµРІРѕРіРѕ СѓСЂРѕРІРЅСЏ</color>""
РµСЃС‚СЊ РѕС‚РІРµС‚С‹ РЅР° Р»СЋР±С‹Рµ РІРѕРїСЂРѕСЃС‹.",
ftue_24,"РџРѕР»СѓС‡РёС‚Рµ СЃР»РµРґСѓСЋС‰РёР№ СѓСЂРѕРІРµРЅСЊ, 
С‡С‚РѕР±С‹ РѕС‚РєСЂС‹С‚СЊ РЅРѕРІС‹Рµ СЂР°СЃС‚РµРЅРёСЏ",
,,
ftue_tools,"Р’С‹ РґРѕСЃС‚Р°С‚РѕС‡РЅРѕ РєРІР°Р»РёС„РёС†РёСЂРѕРІР°РЅС‹
С‡С‚РѕР±С‹ РїРѕР»СЊР·РѕРІР°С‚СЊСЃСЏ РёРЅСЃС‚СЂСѓРјРµРЅС‚Р°РјРё.
Р—Р°РєР°Р¶РёС‚Рµ РёС… РґРѕСЃС‚Р°РІРєСѓ Р·РґРµСЃСЊ",
,,
ftue_weather_0,"РњРѕРё РґР°С‚С‡РёРєРё РїРѕРіРѕРґС‹ РїРѕРєР°Р·С‹РІР°СЋС‚,
С‡С‚Рѕ Р·Р°РІС‚СЂР° С‡С‚Рѕ-С‚Рѕ Р±СѓРґРµС‚!
РџСЂРѕРІРµСЂСЊ РІ РєР°Р»РµРЅРґР°СЂРµ.",
ftue_weather_1,"Р”Р°С‚С‡РёРєРё РЅРµ РїРѕРґРІРµР»Рё. 
Р’Р»Р°Р¶РЅРѕСЃС‚СЊ РґРѕСЃС‚РёРіР»Р° Р·РµРјРЅС‹С… СѓСЂРѕРІРЅРµР№.
РќР°Р¶РјРё РЅР° РёРєРѕРЅРєСѓ С‡С‚РѕР±С‹ РїСЂРѕС‡РёС‚Р°С‚СЊ Рѕ РґРѕР¶РґРµ.",
ftue_weather_2,"Р’ СЌС‚РѕРј РєР°Р»РµРЅРґР°СЂРµ РїСЂРѕРіРЅРѕР·РѕРІ
РјРѕР¶РЅРѕ СѓРІРёРґРµС‚СЊ РєРѕРіРґР° РѕР¶РёРґР°СЋС‚СЃСЏ
РїРѕРіРѕРґРЅС‹Рµ РєР°С‚Р°РєР»РёР·РјС‹.",
,,
ftue_delivery,"РљР°Р¶РґРѕРµ РІРѕСЃРєСЂРµСЃРµРЅСЊРµ РїСЂРёР»РµС‚Р°РµС‚ СЂР°РєРµС‚Р° СЃ Р·РµРјР»Рё.
РњРѕР¶РЅРѕ РѕС‚РєСЂС‹С‚СЊ РґР»СЏ РїРѕСЃС‚Р°РІРѕРє: 
-РЅРѕРІС‹Рµ РІРёРґС‹ СЃРµРјСЏРЅ
-РґРёРєРѕРІРёРЅРЅС‹Рµ РёРЅСЃС‚СЂСѓРјРµРЅС‚С‹
-Рё РґР°Р¶Рµ С†РµР»РѕРµ СЃРµР»СЊРєРѕС…РѕР·СЏР№СЃС‚РІРµРЅРЅРѕРµ СЃС‚СЂРѕРµРЅРёРµ!",
,,
ftue_club,"РўРµРїРµСЂСЊ Сѓ РІР°СЃ РµСЃС‚СЊ РІРѕР·РјРѕР¶РЅРѕСЃС‚СЊ
Р·Р°РіР»СЏРЅСѓС‚СЊ РЅР° С„РµСЂРјС‹ Рє РґСЂСѓРіРёРј!",
,,
,,
tomato_page_1,"Р§С‚РѕР±С‹ РІС‹СЂР°СЃС‚РёС‚СЊ РїРѕРјРёРґРѕСЂ, РґРѕСЃС‚Р°С‚РѕС‡РЅРѕ РїРѕСЃР°РґРёС‚СЊ РµРіРѕ РІ РїР»РѕРґРѕСЂРѕРґРЅСѓСЋ РїРѕС‡РІСѓ Рё РїРѕР»РёС‚СЊ.",
tomato_page_2,"Р—Р°С‚Рѕ РµСЃР»Рё РїРѕР»РёС‚СЊ РµРіРѕ РґРѕРїРѕР»РЅРёС‚РµР»СЊРЅС‹Рµ 2 СЂР°Р·Р°, С‚Рѕ РѕРЅ СЂР°СЃРїР»РѕРґРёС‚СЃСЏ Рё РґР°СЃС‚ 3 РѕРІРѕС‰Р°, РІРјРµСЃС‚Рѕ 1!",
,,
,РџРѕ СѓС‚СЂР°Рј РёР· Р»СѓР¶Рё РјРѕР¶РµС‚ РІС‹СЂР°СЃС‚Рё СЃРѕСЂРЅСЏРє СЃ С€Р°РЅСЃРѕРј 50%. ,
," РџСЂРё СЃР±РѕСЂРµ РґР°С‘С‚ 1 РјРѕРЅРµС‚РєСѓ, РЅРѕ РЅРµ РґР°С‘С‚ РѕРІРѕС‰.",
,,
,Р•СЃР»Рё РІСЃРєРѕРїР°С‚СЊ (РЅРµ СЃРѕР±СЂР°С‚СЊ) СѓР¶Рµ РІС‹СЂРѕСЃС€СѓСЋ РєР»СѓР±РЅРёРєСѓ - РѕРЅР° РїРѕР»СЊС‘С‚ РґРІРµ СЃРѕСЃРµРґРЅРёРµ РєР»РµС‚РєРё.,
,"РљР»СѓР±РЅРёРєР° РЅРµ РїРѕР»РёРІР°РµС‚ РєР»РµС‚РєРё, РєРѕС‚РѕСЂС‹Рµ РЅРµРІРѕР·РјРѕР¶РЅРѕ РїРѕР»РёС‚СЊ.",
,,
,Р”СѓР±Р»РёСЂСѓРµС‚ РґРµР№СЃС‚РІРёРµ СЃ 3 РїСЂР°РІС‹С… РєР»РµС‚РѕРє РЅР° 3 Р»РµРІС‹Рµ.  ,
,"Р”СѓР±Р»РёСЂСѓРµС‚ РЅРµ С‚РѕР»СЊРєРѕ РґРµР№СЃС‚РІРёСЏ РёРіСЂРѕРєР°, РЅРѕ Рё Р»СЋР±С‹Рµ РґСЂСѓРіРёРµ РІРѕР·РґРµР№СЃС‚РІРёСЏ.
РљР°Р¶РґС‹Р№ РґРµРЅСЊ СЃСЉРµРґР°РµС‚ РїРѕ 2 РјРѕРЅРµС‚С‹!!!",
,,
,"РЎР°Р¶Р°Р№С‚Рµ С‚С‹РєРІС‹ РґСЂСѓРі СЃ РґСЂСѓРіРѕРј, С‡С‚РѕР±С‹ РїРѕР»СѓС‡РёС‚СЊ Р±РѕР»СЊС€Рµ СѓСЂРѕР¶Р°СЏ.",
,"РЈР¶Рµ РІС‹СЂРѕСЃС€РёРµ С‚С‹РєРІС‹ РЅРµ РјРѕРіСѓС‚ СѓРІРµР»РёС‡РёС‚СЊСЃСЏ.
Р Р°СЃС‚С‘С‚ 2 РґРЅСЏ, РЅРѕ РїРѕР»РёРІР°С‚СЊ РЅСѓР¶РЅРѕ С‚РѕР»СЊРєРѕ 1 СЂР°Р·.",
,,
,"Р“РѕСЂРѕС… СЃР°РјРѕСЃС‚РѕСЏС‚РµР»СЊРЅРѕ СЂР°Р·СЂР°СЃС‚Р°РµС‚СЃСЏ, РЅРѕ СѓРјРёСЂР°РµС‚, РµСЃР»Рё РєРѕСЃРЅС‘С‚СЃСЏ РґСЂСѓРіРѕРіРѕ СЂР°СЃС‚РµРЅРёСЏ.",
,"РџСЂРё СЃР±РѕСЂРµ РѕРґРЅРѕР№ С‡Р°СЃС‚Рё РіРѕСЂРѕС…Р°, СЃРѕР±РёСЂР°РµС‚СЃСЏ РІСЃСЏ С†РµРїРѕС‡РєР°.
Р—Р° РЅРёРј РѕС‡РµРЅСЊ С‚СЂСѓРґРЅРѕ СѓС…Р°Р¶РёРІР°С‚СЊ, РЅРѕ СЂРµР·СѓР»СЊС‚Р°С‚ РІРїРµС‡Р°С‚Р»СЏРµС‚!",
,,
,РџСЂРё СЃР±РѕСЂРµ СЃРѕР±РёСЂР°РµС‚ РѕРІРѕС‰Рё СЃ СЃРѕСЃРµРґРЅРёС… РєР»РµС‚РѕРє Рё СѓРІРµР»РёС‡РёРІР°РµС‚ СЃРІРѕР№ СѓСЂРѕР¶Р°Р№ Р·Р° РєР°Р¶РґСѓСЋ РєР»РµС‚РєСѓ.,
,"РЎР°Рј Р»СѓРє СЃРѕР±РёСЂР°РµС‚СЃСЏ РџРћРЎР›Р• РѕРєСЂСѓР¶Р°СЋС‰РёС… РєР»РµС‚РѕРє,
Р° Р·РЅР°С‡РёС‚ СѓРґРІРѕРµРЅРёРµ РѕС‚ РїР°РїРѕСЂРѕС‚РЅРёРєР° РЅРµ СЃСЂР°Р±РѕС‚Р°РµС‚.",
,,
,РџРѕР»РЅРѕСЃС‚СЊСЋ РІС‹СЂР°С‰РµРЅРЅР°СЏ РјСѓС…РѕР»РѕРІРєР° (3 РґРЅСЏ) СЃРїР°СЃС‘С‚ РІР°С€Рё СЂР°СЃС‚РµРЅРёСЏ РѕС‚ РІСЂРµРґРёС‚РµР»РµР№.,
,"РњСѓС…РѕР»РѕРІРєР° СЃР°РјР° СЂР°Р·СЂР°СЃС‚Р°РµС‚СЃСЏ РєР°Р¶РґРѕРµ СѓС‚СЂРѕ, РЅРѕ Р±РѕРёС‚СЃСЏ РІРѕРґС‹. 
Р—Р° РєР°Р¶РґРѕРµ СЃРїР°СЃС‘РЅРЅРѕРµ СЂР°СЃС‚РµРЅРёРµ РІС‹ РїРѕР»СѓС‡РёС‚Рµ СѓСЂРѕР¶Р°Р№.",
,,
,РћРІРѕС‰Рё РІРѕРєСЂСѓРі РІС‹СЂРѕСЃС€РµРіРѕ РїР°РїРѕСЂРѕС‚РЅРёРєР° РґР°СЋС‚ РґРІРѕР№РЅРѕР№ СѓСЂРѕР¶Р°Р№.,
,"Р’С‹СЂРѕСЃС€РёР№ РїР°РїРѕСЂС‚РЅРёРє РЅР°РґРѕ РїРѕР»РёРІР°С‚СЊ РєР°Р¶РґС‹Р№ РґРµРЅСЊ, РёРЅР°С‡Рµ РѕРЅ Р·Р°СЃРѕС…РЅРµС‚.
РЎРµРјРµС‡РєРѕ Р·Р°СЃРѕС…РЅСѓС‚СЊ РЅРµ РјРѕР¶РµС‚.",
,,
,Р”РѕСЃС‚Р°С‚РѕС‡РЅРѕ РїРѕСЃР°РґРёС‚СЊ Рё РїРѕР»РёС‚СЊ С‡С‚РѕР±С‹ РїРѕР»СѓС‡РёС‚СЊ 1 Р±Р°РєР»Р°Р¶Р°РЅ.,
,РќРѕ РµСЃР»Рё РїРѕРґРѕР¶РґР°С‚СЊ РґРѕРїРѕР»РЅРёС‚РµР»СЊРЅРѕ 2 РґРЅСЏ - С‚Рѕ РІРјРµСЃС‚Рѕ РѕРґРЅРѕРіРѕ Р±Р°РєР»Р°Р¶Р°РЅР° РІС‹ РїРѕР»СѓС‡РёС‚Рµ 3.,
,,
,Р•СЃР»Рё РїРѕР»РёС‚СЊ СѓР¶Рµ РІС‹СЂРѕСЃС€РёР№ РѕРґСѓРІР°РЅС‡РёРє - РѕРЅ РІСЃРєРѕРїР°РµС‚ 2 СЃРѕСЃРµРґРЅРёРµ РєР»РµС‚РєРё.,
,"РћРґСѓРІР°РЅС‡РёРє РІСЃРєР°РїС‹РІР°РµС‚ С‚РѕР»СЊРєРѕ РґРѕСЃС‚СѓРїРЅС‹Рµ РєР»РµС‚РєРё.
Р•СЃР»Рё РІСЃРєР°РїС‹РІР°С‚СЊ РµРјСѓ РЅРµС‡РµРіРѕ - С‚Рѕ Рё РїРѕР»РёС‚СЊ РµРіРѕ РЅРµ РїРѕР»СѓС‡РёС‚СЃСЏ.",
,,
,РџСЂРё РІС‹СЂР°СЃС‚Р°РЅРёРё СЃР°Р¶Р°РµС‚ РєСѓРєСѓСЂСѓР·Сѓ РЅР° СЃРѕСЃРµРґРЅСЋСЋ СЃРІРѕР±РѕРґРЅСѓСЋ РєР»РµС‚РєСѓ.,
